21, 23 
62, 23 
2, 41 
75, 60 
97, 23 
70, 61 
33, 90 
60, 15 
5, 88 
98, 29 
7, 66 
91, 21 
22, 99 
78, 85 
84, 89 
15, 87 
70, 87 
7, 9 
64, 42 
97, 25 
46, 44 
19, 1 
4, 3 
91, 0 
24, 99 
86, 12 
20, 85 
84, 87 
99, 7 
13, 93 
0, 85 
75, 68 
26, 86 
21, 47 
45, 96 
57, 10 
43, 75 
59, 84 
43, 58 
63, 45 
35, 67 
0, 86 
67, 90 
50, 6 
61, 68 
33, 23 
45, 50 
98, 39 
70, 65 
20, 31 
28, 41 
87, 27 
99, 30 
84, 46 
91, 14 
76, 64 
80, 80 
6, 59 
59, 85 
75, 67 
35, 74 
38, 9 
12, 53 
31, 64 
95, 70 
85, 58 
81, 61 
74, 81 
60, 89 
4, 7 
28, 1 
7, 72 
97, 79 
33, 44 
44, 8 
83, 78 
49, 95 
74, 59 
70, 12 
4, 79 
16, 7 
72, 6 
43, 56 
80, 77 
52, 45 
52, 54 
56, 41 
22, 62 
63, 6 
61, 76 
6, 63 
7, 69 
40, 58 
53, 82 
51, 19 
68, 36 
97, 15 
73, 56 
45, 67 
75, 11 
